OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
1879,14000US17089850702,279,-1,145,-1
1880,14000US17089850703,369,-1,148,-1
1881,14000US17089850800,298,-1,108,-1
1882,14000US17089851000,462,-1,141,-1
1883,14000US17089851101,310,-1,120,-1
1884,14000US17089851102,291,-1,109,-1
1885,14000US17089851301,302,-1,107,-1
1886,14000US17089851302,403,-1,126,-1
1887,14000US17089851400,498,-1,159,-1
1888,14000US17089851500,135,-1,56,-1
1889,14000US17089851600,326,-1,117,-1
1890,14000US17089851801,455,-1,151,-1
1891,14000US17089851904,397,-1,131,-1
1892,14000US17089851905,470,-1,172,-1
1893,14000US17089851907,445,-1,154,-1
1894,14000US17089851908,412,-1,160,-1
1895,14000US17089851909,410,-1,155,-1
1896,14000US17089851910,353,-1,137,-1
1897,14000US17089852001,433,-1,178,-1
1898,14000US17089852002,349,-1,148,-1
1899,14000US17089852003,493,-1,195,-1
1900,14000US17089852101,423,-1,126,-1
1901,14000US17089852102,505,-1,178,-1
1902,14000US17089852201,470,-1,200,-1
1903,14000US17089852202,562,-1,162,-1
1904,14000US17089852300,182,-1,95,-1
1905,14000US17089852401,832,-1,277,-1
1906,14000US17089852402,512,-1,163,-1
1907,14000US17089852403,1075,-1,423,-1
1908,14000US17089852500,405,-1,152,-1
1909,14000US17089852601,453,-1,190,-1
1910,14000US17089852606,488,-1,180,-1
1911,14000US17089852700,411,-1,187,-1
1912,14000US17089852803,489,-1,191,-1
1913,14000US17089852805,488,-1,179,-1
1914,14000US17089852806,389,-1,124,-1
1915,14000US17089852807,401,-1,140,-1
1916,14000US17089852808,404,-1,147,-1
1917,14000US17089852903,299,-1,137,-1
1918,14000US17089852904,340,-1,87,-1
1919,14000US17089852905,396,-1,135,-1
1920,14000US17089852906,310,-1,126,-1
1921,14000US17089852907,273,-1,104,-1
1922,14000US17089853001,260,-1,102,-1
1923,14000US17089853004,270,-1,125,-1
1924,14000US17089853005,273,-1,109,-1
1925,14000US17089853006,265,-1,107,-1
1926,14000US17089853007,442,-1,157,-1
1927,14000US17089853008,420,-1,128,-1
1928,14000US17089853100,339,-1,121,-1
1929,14000US17089853200,433,-1,163,-1
1930,14000US17089853300,351,-1,110,-1
1931,14000US17089853400,464,-1,122,-1
1932,14000US17089853500,486,-1,135,-1
1933,14000US17089853600,373,-1,115,-1
1934,14000US17089853900,540,-1,188,-1
1935,14000US17089854001,404,-1,152,-1
1936,14000US17089854002,291,-1,115,-1
1937,14000US17089854100,352,-1,118,-1
1938,14000US17089854200,430,-1,129,-1
1939,14000US17089854301,565,-1,171,-1
1940,14000US17089854302,386,-1,131,-1
1941,14000US17089854400,413,-1,158,-1
1942,14000US17089854501,572,-1,192,-1
1943,14000US17089854503,634,-1,219,-1
1944,14000US17089854504,497,-1,179,-1
1945,14000US17089854600,311,-1,120,-1
1946,14000US17089854700,313,-1,136,-1
1947,14000US17089854800,489,-1,159,-1
1948,14000US17089854900,448,-1,155,-1
1949,14000US17091010100,533,-1,208,-1
1950,14000US17091010201,274,-1,105,-1
1951,14000US17091010202,637,-1,236,-1
1952,14000US17091010300,969,-1,395,-1
1953,14000US17091010400,771,-1,303,-1
1954,14000US17091010500,411,-1,143,-1
1955,14000US17091010601,515,-1,184,-1
1956,14000US17091010602,285,-1,104,-1
1957,14000US17091010701,392,-1,155,-1
1958,14000US17091010702,356,-1,145,-1
1959,14000US17091010800,442,-1,189,-1
1960,14000US17091010900,429,-1,170,-1
1961,14000US17091011000,344,-1,182,-1
1962,14000US17091011100,381,-1,172,-1
1963,14000US17091011200,353,-1,148,-1
1964,14000US17091011300,394,-1,183,-1
1965,14000US17091011400,243,-1,117,-1
1966,14000US17091011500,272,-1,113,-1
1967,14000US17091011600,144,-1,80,-1
1968,14000US17091011700,290,-1,126,-1
1969,14000US17091011800,242,-1,109,-1
1970,14000US17091011900,183,-1,78,-1
1971,14000US17091012000,653,-1,121,-1
1972,14000US17091012100,331,-1,138,-1
1973,14000US17091012200,236,-1,103,-1
1974,14000US17091012300,352,-1,139,-1
1975,14000US17091012400,346,-1,143,-1
1976,14000US17091012500,304,-1,96,-1
1977,14000US17091012600,899,-1,376,-1
1978,14000US17093890101,365,-1,128,-1
1979,14000US17093890102,471,-1,148,-1
1980,14000US17093890201,371,-1,146,-1
1981,14000US17093890202,438,-1,155,-1
1982,14000US17093890301,317,-1,114,-1
1983,14000US17093890302,334,-1,127,-1
1984,14000US17093890400,582,-1,186,-1
1985,14000US17093890500,402,-1,139,-1
1986,14000US17093890600,796,-1,307,-1
1987,14000US17093890700,1323,-1,502,-1
1988,14000US17095000100,898,-1,391,-1
1989,14000US17095000200,686,-1,373,-1
1990,14000US17095000300,405,-1,187,-1
1991,14000US17095000400,295,-1,139,-1
1992,14000US17095000500,560,-1,169,-1
1993,14000US17095000600,352,-1,149,-1
1994,14000US17095000700,281,-1,138,-1
1995,14000US17095000800,383,-1,95,-1
1996,14000US17095000900,304,-1,145,-1
1997,14000US17095001000,374,-1,156,-1
1998,14000US17095001100,193,-1,100,-1
1999,14000US17095001200,441,-1,214,-1
2000,14000US17095001300,588,-1,257,-1
2001,14000US17095001400,247,-1,123,-1
2002,14000US17095001500,437,-1,199,-1
2003,14000US17095001600,888,-1,422,-1
2004,14000US17097860101,415,-1,141,-1
2005,14000US17097860103,351,-1,134,-1
2006,14000US17097860104,282,-1,129,-1
2007,14000US17097860200,285,-1,113,-1
2008,14000US17097860301,276,-1,98,-1
2009,14000US17097860302,373,-1,146,-1
2010,14000US17097860400,217,-1,97,-1
2011,14000US17097860500,347,-1,138,-1
2012,14000US17097860600,347,-1,135,-1
2013,14000US17097860805,227,-1,117,-1
2014,14000US17097860806,472,-1,189,-1
2015,14000US17097860807,341,-1,179,-1
2016,14000US17097860808,392,-1,200,-1
2017,14000US17097860809,347,-1,141,-1
2018,14000US17097860810,377,-1,145,-1
2019,14000US17097860811,380,-1,155,-1
2020,14000US17097860903,272,-1,143,-1
2021,14000US17097860904,301,-1,139,-1
2022,14000US17097860905,301,-1,120,-1
2023,14000US17097860906,585,-1,222,-1
2024,14000US17097861007,428,-1,140,-1
2025,14000US17097861008,519,-1,193,-1
2026,14000US17097861009,501,-1,183,-1
2027,14000US17097861010,773,-1,267,-1
2028,14000US17097861011,451,-1,143,-1
2029,14000US17097861012,468,-1,191,-1
2030,14000US17097861013,311,-1,126,-1
2031,14000US17097861014,358,-1,130,-1
2032,14000US17097861105,372,-1,143,-1
2033,14000US17097861106,729,-1,259,-1
2034,14000US17097861107,408,-1,138,-1
2035,14000US17097861108,374,-1,136,-1
2036,14000US17097861201,401,-1,127,-1
2037,14000US17097861202,367,-1,134,-1
2038,14000US17097861301,500,-1,209,-1
2039,14000US17097861303,326,-1,101,-1
2040,14000US17097861304,383,-1,121,-1
2041,14000US17097861402,409,-1,156,-1
2042,14000US17097861403,288,-1,96,-1
2043,14000US17097861404,467,-1,163,-1
2044,14000US17097861504,400,-1,146,-1
2045,14000US17097861505,328,-1,119,-1
2046,14000US17097861506,263,-1,115,-1
2047,14000US17097861507,284,-1,113,-1
2048,14000US17097861508,370,-1,156,-1
2049,14000US17097861509,364,-1,146,-1
2050,14000US17097861510,441,-1,173,-1
2051,14000US17097861603,313,-1,143,-1
2052,14000US17097861604,556,-1,190,-1
2053,14000US17097861607,428,-1,169,-1
2054,14000US17097861608,318,-1,131,-1
2055,14000US17097861609,466,-1,171,-1
2056,14000US17097861610,327,-1,121,-1
2057,14000US17097861611,485,-1,163,-1
2058,14000US17097861701,279,-1,111,-1
2059,14000US17097861702,314,-1,128,-1
2060,14000US17097861803,359,-1,129,-1
2061,14000US17097861804,244,-1,94,-1
2062,14000US17097861901,303,-1,102,-1
2063,14000US17097861902,267,-1,122,-1
2064,14000US17097862000,410,-1,145,-1
2065,14000US17097862100,370,-1,138,-1
2066,14000US17097862200,317,-1,100,-1
2067,14000US17097862300,298,-1,125,-1
2068,14000US17097862401,260,-1,120,-1
2069,14000US17097862402,415,-1,133,-1
2070,14000US17097862501,298,-1,88,-1
2071,14000US17097862502,284,-1,70,-1
2072,14000US17097862603,318,-1,103,-1
2073,14000US17097862604,392,-1,115,-1
2074,14000US17097862605,335,-1,129,-1
2075,14000US17097862700,270,-1,89,-1
2076,14000US17097862800,224,-1,91,-1
2077,14000US17097862901,253,-1,91,-1
2078,14000US17097862902,237,-1,117,-1
2079,14000US17097863003,675,-1,7,-1
2080,14000US17097863004,347,-1,121,-1
2081,14000US17097863005,30,-1,0,-1
2082,14000US17097863006,0,-1,0,-1
2083,14000US17097863100,219,-1,95,-1
2084,14000US17097863201,389,-1,127,-1
2085,14000US17097863202,532,-1,208,-1
2086,14000US17097863300,438,-1,168,-1
2087,14000US17097863400,531,-1,129,-1
2088,14000US17097863500,427,-1,196,-1
2089,14000US17097863601,467,-1,159,-1
2090,14000US17097863603,381,-1,120,-1
2091,14000US17097863604,300,-1,107,-1
2092,14000US17097863701,461,-1,194,-1
2093,14000US17097863702,512,-1,212,-1
2094,14000US17097863801,542,-1,218,-1
2095,14000US17097863902,301,-1,160,-1
2096,14000US17097863903,439,-1,171,-1
2097,14000US17097863904,654,-1,215,-1
2098,14000US17097864001,313,-1,106,-1
2099,14000US17097864002,440,-1,162,-1
2100,14000US17097864101,403,-1,160,-1
2101,14000US17097864105,361,-1,135,-1
2102,14000US17097864106,384,-1,142,-1
2103,14000US17097864107,446,-1,160,-1
2104,14000US17097864108,491,-1,177,-1
2105,14000US17097864203,421,-1,159,-1
2106,14000US17097864204,500,-1,182,-1
2107,14000US17097864205,611,-1,241,-1
2108,14000US17097864206,345,-1,137,-1
2109,14000US17097864303,646,-1,235,-1
2110,14000US17097864305,491,-1,229,-1
2111,14000US17097864306,391,-1,141,-1
2112,14000US17097864307,284,-1,129,-1
2113,14000US17097864308,409,-1,174,-1
2114,14000US17097864402,410,-1,152,-1
2115,14000US17097864403,518,-1,172,-1
2116,14000US17097864407,627,-1,209,-1
2117,14000US17097864408,322,-1,130,-1
2118,14000US17097864409,510,-1,173,-1
2119,14000US17097864410,541,-1,182,-1
2120,14000US17097864411,618,-1,209,-1
2121,14000US17097864412,585,-1,199,-1
2122,14000US17097864505,401,-1,153,-1
2123,14000US17097864510,386,-1,171,-1
2124,14000US17097864511,589,-1,209,-1
2125,14000US17097864512,443,-1,151,-1
2126,14000US17097864513,538,-1,187,-1
2127,14000US17097864514,429,-1,161,-1
2128,14000US17097864515,464,-1,153,-1
2129,14000US17097864516,469,-1,182,-1
2130,14000US17097864517,290,-1,110,-1
2131,14000US17097864518,519,-1,197,-1
2132,14000US17097864519,499,-1,206,-1
2133,14000US17097864520,564,-1,196,-1
2134,14000US17097864521,284,-1,164,-1
2135,14000US17097864522,516,-1,193,-1
2136,14000US17097864601,395,-1,139,-1
2137,14000US17097864602,394,-1,145,-1
2138,14000US17097864700,283,-1,112,-1
2139,14000US17097864801,897,-1,276,-1
2140,14000US17097864802,495,-1,174,-1
2141,14000US17097864901,468,-1,167,-1
2142,14000US17097864903,490,-1,193,-1
2143,14000US17097864904,268,-1,124,-1
2144,14000US17097865000,224,-1,82,-1
2145,14000US17097865200,442,-1,176,-1
2146,14000US17097865300,344,-1,126,-1
2147,14000US17097865400,385,-1,192,-1
2148,14000US17097865501,371,-1,143,-1
2149,14000US17097865502,390,-1,164,-1
2150,14000US17097865600,365,-1,138,-1
2151,14000US17097865700,359,-1,145,-1
2152,14000US17097865801,330,-1,139,-1
2153,14000US17097865802,298,-1,108,-1
2154,14000US17097866000,430,-1,169,-1
2155,14000US17097866100,279,-1,87,-1
2156,14000US17097866200,732,-1,265,-1
2157,14000US17097990000,0,-1,0,-1
2158,14000US17099961701,413,-1,175,-1
2159,14000US17099961702,659,-1,263,-1
2160,14000US17099961800,689,-1,309,-1
2161,14000US17099961900,412,-1,168,-1
2162,14000US17099962000,382,-1,135,-1
2163,14000US17099962100,593,-1,255,-1
2164,14000US17099962200,995,-1,441,-1
2165,14000US17099962300,1190,-1,354,-1
2166,14000US17099962400,508,-1,213,-1
2167,14000US17099962500,421,-1,170,-1
2168,14000US17099962600,490,-1,203,-1
2169,14000US17099962700,204,-1,110,-1
2170,14000US17099962800,277,-1,137,-1
2171,14000US17099962900,268,-1,131,-1
2172,14000US17099963000,335,-1,131,-1
2173,14000US17099963100,319,-1,148,-1
2174,14000US17099963200,462,-1,207,-1
2175,14000US17099963300,186,-1,102,-1
2176,14000US17099963400,374,-1,180,-1
2177,14000US17099963500,388,-1,173,-1
2178,14000US17099963600,309,-1,127,-1
2179,14000US17099963700,796,-1,333,-1
2180,14000US17099963800,359,-1,179,-1
2181,14000US17099963900,382,-1,168,-1
2182,14000US17099964000,768,-1,325,-1
2183,14000US17099964100,1168,-1,530,-1
2184,14000US17099964200,230,-1,105,-1
2185,14000US17099964300,283,-1,119,-1
2186,14000US17101880700,296,-1,138,-1
2187,14000US17101880800,1376,-1,274,-1
2188,14000US17101880900,420,-1,184,-1
2189,14000US17101881000,303,-1,144,-1
2190,14000US17101881100,276,-1,123,-1
2191,14000US17103000100,749,-1,316,-1
2192,14000US17103000200,560,-1,234,-1
2193,14000US17103000300,400,-1,175,-1
2194,14000US17103000400,827,-1,130,-1
2195,14000US17103000500,269,-1,119,-1
2196,14000US17103000600,314,-1,149,-1
