OBJECTID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Id,Id2,Geography,"Total; Est",Households,"Total; E_1",Househol_1,"Total; E_2",Househol_2,"Total; E_3",Househol_3,Househol_4,Id_2,Id2_2,Geography_,"Total; E_4","Total; E_5","Total; E_6","Total; E_7","Total; E_8","Total; E_9","Total; E10","Total; E11","Total; E12","Total; E13","Total; E14","Total; E15","Total; E16","Total; E17","Total; E18","Total; E19","Total; E20","Total; E21","Total; E22","Total; E23","Total; E24","Total; E25","Total; E26","Total; E27","Total; E28","Total; E29",_count,_sum,_mean
230.00000,17031062000,Census Tract 620,224977.00000,0.00000,+41.9425769,-87.6470786,1400000US17031062000,17031062000,"Census Tract 620, Cook County, Illinois",1528,124,48,63,1480,127,8.2,4.7,79.2,1400000US17031062000,17031062000,"Census Tract 620, Cook County, Illinois",2599,225,1302,206,1297,195,0.8,0.8,0.9,1.3,0.8,1.1,0.9,1.5,0.3,2,1.5,1.8,0.8,1,0.9,1.4,0.6,1.4,1.7,2.2,0.000000000000000,0.000000000000000,
828.00000,17031770500,Census Tract 7705,6754296.00000,0.00000,+42.0080064,-87.9447413,1400000US17031770500,17031770500,"Census Tract 7705, Cook County, Illinois",1405,139,93,93,1312,158,13.9,6.7,0,1400000US17031770500,17031770500,"Census Tract 7705, Cook County, Illinois",4429,400,2465,266,1964,300,10.1,4.4,14.3,6.9,4.8,4,7.9,2.9,6.5,4.6,9.6,5.2,8.2,2.9,9.2,4.4,7,4,9.3,4.9,0.000000000000000,0.000000000000000,
829.00000,17031770601,Census Tract 7706.01,2767946.00000,0.00000,+42.0291453,-87.9087421,1400000US17031770601,17031770601,"Census Tract 7706.01, Cook County, Illinois",1019,72,14,20,1005,73,46,8.6,0,1400000US17031770601,17031770601,"Census Tract 7706.01, Cook County, Illinois",3257,273,1593,171,1664,205,5.4,2.6,5.5,3.6,5.4,3.7,3,1.7,3,2.8,3.1,2.9,5.7,1.8,9.3,3.1,2.2,2.4,12.3,4.4,0.000000000000000,0.000000000000000,
830.00000,17031770602,Census Tract 7706.02,5389805.00000,153161.00000,+42.0119110,-87.9074973,1400000US17031770602,17031770602,"Census Tract 7706.02, Cook County, Illinois",1613,81,195,120,1418,137,28.2,5,7.2,1400000US17031770602,17031770602,"Census Tract 7706.02, Cook County, Illinois",5284,503,2456,281,2828,354,6.1,3.9,5.9,3.9,6.2,5.3,8.1,3.3,7.3,5.9,8.9,5.6,5.2,2.9,5.2,3.4,5.3,3.4,5.9,2.7,0.000000000000000,0.000000000000000,
976.00000,17031805112,Census Tract 8051.12,2995548.00000,20794.00000,+42.0218595,-87.9376990,1400000US17031805112,17031805112,"Census Tract 8051.12, Cook County, Illinois",1261,113,80,48,1181,110,60.2,7.1,78.8,1400000US17031805112,17031805112,"Census Tract 8051.12, Cook County, Illinois",2956,362,1399,199,1557,240,4.6,2.7,4.9,3.6,4.4,3.7,1.9,1.3,3.1,2.6,0.8,1.5,4.6,1.8,4.5,3.5,4.7,2.1,5.9,2.4,0.000000000000000,0.000000000000000,
1003.00000,17031806501,Census Tract 8065.01,834963.00000,0.00000,+42.0157961,-87.8910650,1400000US17031806501,17031806501,"Census Tract 8065.01, Cook County, Illinois",782,24,97,55,685,54,33,8,24.7,1400000US17031806501,17031806501,"Census Tract 8065.01, Cook County, Illinois",2547,263,1210,242,1337,167,10.7,5.1,7.9,3.5,13.2,8.6,5.3,2.4,3.4,3,7,3.6,7.5,2.7,6.4,4.6,8.5,4.1,6,2.9,0.000000000000000,0.000000000000000,
1005.00000,17031806600,Census Tract 8066,2823596.00000,122767.00000,+42.0034176,-87.8730733,1400000US17031806600,17031806600,"Census Tract 8066, Cook County, Illinois",1219,56,48,36,1171,62,38.4,6.1,18.8,1400000US17031806600,17031806600,"Census Tract 8066, Cook County, Illinois",3362,191,1590,136,1772,163,7.7,2.3,7.8,3.6,7.6,3.3,7.3,1.8,8,3.3,6.8,3.2,3.9,1.3,1.7,1.6,5.9,2.1,5.6,2.2,0.000000000000000,0.000000000000000,
1456.00000,17031980000,Census Tract 9800,19948327.00000,92402.00000,+41.9794191,-87.9024376,1400000US17031980000,17031980000,"Census Tract 9800, Cook County, Illinois",0,119,0,119,0,119,,,,1400000US17031980000,17031980000,"Census Tract 9800, Cook County, Illinois",0,119,0,119,0,119,,,,,,,,,,,,,,,,,,,,,353712.000000000000000,8.038371369955779,0.000022725752505
660.00000,17031560300,Census Tract 5603,653932.00000,0.00000,+41.8039075,-87.7479870,1400000US17031560300,17031560300,"Census Tract 5603, Cook County, Illinois",945,40,77,66,868,79,34,8.9,53.2,1400000US17031560300,17031560300,"Census Tract 5603, Cook County, Illinois",3233,429,1623,250,1610,260,8.3,3.3,7.6,5,9,6.9,5.9,2,5.1,3.2,6.8,3.1,5.8,3.4,5.1,4.1,6.6,3.9,6.4,2.5,33079.000000000000000,0.000000000000000,0.000000000000000
661.00000,17031560400,Census Tract 5604,339633.00000,0.00000,+41.8040062,-87.7406144,1400000US17031560400,17031560400,"Census Tract 5604, Cook County, Illinois",404,33,0,119,404,33,34.9,15.1,,1400000US17031560400,17031560400,"Census Tract 5604, Cook County, Illinois",1472,188,712,170,760,72,4.2,2.8,0,4.5,8.2,4.7,11.3,5.1,8.6,4.6,13.9,11,6.7,4.9,5.1,5.4,8.2,7.3,5.4,4.2,17161.000000000000000,0.000000000000000,0.000000000000000
669.00000,17031570300,Census Tract 5703,980167.00000,0.00000,+41.8041449,-87.7307909,1400000US17031570300,17031570300,"Census Tract 5703, Cook County, Illinois",1600,100,247,105,1353,133,31.6,6.9,20.6,1400000US17031570300,17031570300,"Census Tract 5703, Cook County, Illinois",5739,645,2895,388,2844,392,9.4,2.8,7.7,4,11.1,4.7,6.3,2.5,6.6,4,5.9,2.4,11.3,3.2,10.8,5.2,11.8,4.4,7.5,2.6,49572.000000000000000,645.027032883096126,0.013011922716112
671.00000,17031570500,Census Tract 5705,423598.00000,0.00000,+41.7986015,-87.7324553,1400000US17031570500,17031570500,"Census Tract 5705, Cook County, Illinois",731,50,95,57,636,71,34.3,10.8,23.2,1400000US17031570500,17031570500,"Census Tract 5705, Cook County, Illinois",2686,432,1332,261,1354,261,9.8,4.2,12.5,7.1,7,4.8,6.8,3.7,5.4,5.7,8.2,5.1,5.1,3.6,6.2,5.4,3.9,3.7,8.6,4,21418.000000000000000,125.739620692281704,0.005870745199938
1172.00000,17031820800,Census Tract 8208,5663116.00000,374281.00000,+41.8072538,-87.7735919,1400000US17031820800,17031820800,"Census Tract 8208, Cook County, Illinois",1105,121,43,32,1062,122,34.8,4.6,25.6,1400000US17031820800,17031820800,"Census Tract 8208, Cook County, Illinois",3749,327,1752,191,1997,213,7.5,2.4,11.1,4.8,4.4,2.1,8.9,3.1,5.5,2.7,11.8,5.5,7.4,2.6,8.6,3.7,6.3,2.9,6.7,2.3,0.259678732980034,0.000000000000000,0.000000000000000
