,GEOID,weight_max,weight_median,total_pop,pov_rate,pop_vulnerable,uninsured_rate,vulner_rate,max_composite,med_composite
0,17031010100,194319.8191283642,11457.558399405918,4388,1.3540154530554904,433,1.1303638059701493,0.09867821330902461,29348.11680726528,1730.4347222024862
1,17031010201,431111.3234712246,24856.526385581456,7032,1.353184214275538,999,1.2202592961960392,0.14206484641638226,101131.18683272034,5830.9069538519525
2,17031010202,410187.63113201916,23939.119891128565,2275,1.2319877363311191,519,1.1922685656154628,0.22813186813186814,137451.3456237171,8021.851446378877
3,17031010300,361734.04745112907,21430.629111417365,6205,1.1748707144225243,1450,1.115069537054677,0.233682514101531,110740.79422500374,6560.74512549299
4,17031010400,837253.6706876925,59413.05199267856,5603,1.175522962250541,669,1.06764233446368,0.11940032125646975,125464.09511119123,8903.161690450319
5,17031010501,172120.52414333442,10565.425703618173,3906,1.202924576706003,663,1.1623909697280657,0.16973886328725038,40851.177079115514,2507.603776382407
6,17031010502,205720.83183434067,13923.769126498708,3045,1.3869146462969113,162,1.1635467980295566,0.053201970443349754,17661.987747333827,1195.4134032811833
7,17031010503,271088.74395907717,26890.410864541707,2112,1.465832531280077,725,1.0660287081339712,0.34327651515151514,145414.8749730016,14424.301344028729
8,17031010600,525649.3125542803,39020.17327279775,6624,1.173973880597015,767,1.2271597265382226,0.11579106280193237,87686.08283573051,6509.142243974272
9,17031010701,439051.8060835168,25782.14748478635,3921,1.1548074470798266,755,1.1517470033154806,0.19255292017342515,112443.0310747746,6602.917402086256
10,17031010702,364382.6053689456,22415.000793410214,5608,1.362872967661247,456,1.2295872788994104,0.08131241084165478,49651.138728774335,3054.2904562426365
11,17031020100,260748.2496294779,14888.764037890896,4025,1.2163975155279503,652,1.1965217391304348,0.16198757763975155,61475.09814339083,3510.2372950297904
12,17031020200,410753.0050693787,23254.625384965177,6796,1.2090935844614479,1552,1.1202177751618598,0.22836962919364331,127051.99022639809,7193.0001744725
13,17031020301,44279.64324095964,2505.2790241025737,5297,1.0931818181818183,1752,1.0602227676043043,0.3307532565603172,16974.530389398475,960.3947054662418
14,17031020302,309190.1474602965,17601.564828295417,4940,1.1663716814159293,1049,1.135283765948086,0.21234817813765183,86939.18810018257,4949.270757928133
15,17031020400,409044.6470442242,23404.981106056803,4624,1.211884623725873,754,1.1461355271703833,0.16306228373702422,92644.89299604982,5301.01539236319
16,17031020500,519605.034410931,35997.14421063262,5927,1.2908226175797075,1229,1.2763783688567907,0.20735616669478657,177515.51135410293,12297.90136479749
17,17031020601,20557.01852464057,1691.766185176516,6380,1.252469813391877,1372,1.1222570532915361,0.21504702194357367,6213.741340628177,511.36780710236485
18,17031020602,169010.1673250104,12468.96385837485,4378,1.3070739549839228,932,1.2391752577319588,0.21288259479214253,58275.482920352624,4299.356079364635
19,17031020701,394456.47618926177,32462.30123988987,1692,1.1252955082742317,371,1.043144208037825,0.21926713947990545,101527.4732743905,8355.33352981835
20,17031020702,244281.34812591484,20103.446612814743,7795,1.2238532110091742,1549,1.1791612057667105,0.19871712636305325,70053.22290973167,5765.119758940774
21,17031020801,463509.72942336724,38145.12721282279,5084,1.1819433516915814,920,1.1555861526357198,0.1809598741148702,114561.87985787512,9428.016724385201
22,17031020802,455074.3526260691,37450.92706858562,7436,1.289509352127948,904,1.2299299568965516,0.12157073695535234,87743.76893196367,7220.9859158860345
23,17031020901,467818.2769322318,38656.921907394055,5203,1.321380374011953,831,1.140111474149529,0.15971554872189123,112564.00880203563,9301.4281664627
24,17031020902,793438.0163325603,92825.18377834823,4146,1.2543025944002055,903,1.171830985915493,0.2178002894356006,254002.9472533883,29716.083391138487
25,17031030101,193323.2491288917,33440.959840245385,3547,1.1420919086552015,674,1.2410487736115026,0.19001973498731323,52068.216036316546,9006.734209514496
26,17031030102,163667.8639223412,27570.786153686793,2914,1.129765652325988,383,1.2170569730863334,0.13143445435827042,29578.211961462883,4982.61868429381
27,17031030103,141795.50455847383,22875.22296407145,2313,1.2289988492520139,179,1.100302637267618,0.07738867271941202,14838.960906678562,2393.9019812537945
28,17031030104,142151.70709173474,20137.16915212688,3484,1.2876712328767124,319,1.1624569460390357,0.09156142365097589,19482.58082212464,2759.8966875714596
29,17031030200,663749.6247679201,101878.4122439415,5251,1.1312726578897156,908,1.0854798702537685,0.17291944391544467,140940.94643681732,21632.915948030728
30,17031030300,364611.6868872995,51772.300681588546,3174,1.2211720226843101,556,1.224007561436673,0.1751732829237555,95468.34652373572,13555.83520648005
31,17031030400,425325.36921792885,60734.60750569081,2584,1.2380030959752322,567,1.153637770897833,0.21942724458204335,133291.6778229604,19033.470190687236
32,17031030500,528371.4990252361,89388.54921524401,6468,1.141911069063387,830,1.1045411542100283,0.12832405689548546,85518.81001576847,14467.855234482491
33,17031030601,200323.0232700725,35200.22198016751,4001,1.1951155462184875,878,1.153361344537815,0.21944513871532118,60594.348167434015,10647.475619223476
34,17031030603,99041.32101949028,16764.893843125978,1954,1.290853031860226,187,1.27482088024565,0.09570112589559877,15597.659623136244,2640.242527981148
35,17031030604,175037.27943331894,35210.81675912622,2973,1.229061553985873,694,1.132862428523377,0.2334342415068954,56891.3085772237,11444.35887020657
36,17031030701,42189.1144932026,8592.14724498169,1654,1.2384823848238482,309,1.1734417344173442,0.186819830713422,11454.463386980402,2332.7921719960304
37,17031030702,4140.3787886434575,945.3655046321372,1572,1.0986005089058524,377,1.078880407124682,0.23982188295165394,1176.9065654383378,268.7210339769471
